
[1/4] Loading dataset …
Processing...
  Category filter: ['Bench_vice', 'C_Clamps', 'Pipe_vice', 'Gate_Valve', 'Press_Tool', 'Tool_Post', 'Crane_hook']
  749 STEP files after category filter
  Found 749 STEP file(s) in /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models/Best_models_for_training
  [184/749] [CACHED] C_Clamps_69/C_Clamps_69.step — 15 nodes
  [185/749] [CACHED] C_Clamps_70/C_Clamps_70.STEP — 8 nodes
  [186/749] [CACHED] C_Clamps_71/C_Clamps_71.stp — 5 nodes
  [187/749] [CACHED] C_Clamps_72/C_Clamps_72.STEP — 28 nodes
  [188/749] [CACHED] C_Clamps_73/C_Clamps_73.stp — 11 nodes
  [189/749] [CACHED] C_Clamps_74/C_Clamps_74.STEP — 5 nodes
  [190/749] [CACHED] C_Clamps_75/C_Clamps_75.stp — 12 nodes
  [191/749] [CACHED] C_Clamps_76/C_Clamps_76.stp — 12 nodes
  [192/749] [CACHED] C_Clamps_77/C_Clamps_77.stp — 2 nodes
  [193/749] [CACHED] C_Clamps_78/C_Clamps_78.STEP — 9 nodes
  [194/749] [CACHED] C_Clamps_79/C_Clamps_79.stp — 7 nodes
  [195/749] [CACHED] C_Clamps_80/C_Clamps_80.stp — 5 nodes
  [196/749] [CACHED] C_Clamps_81/C_Clamps_81.STEP — 4 nodes
  [197/749] [CACHED] C_Clamps_82/C_Clamps_82.stp — 4 nodes
  [198/749] [CACHED] C_Clamps_83/C_Clamps_83.stp — 13 nodes
  [199/749] [CACHED] C_Clamps_84/C_Clamps_84.stp — 6 nodes
  [200/749] [CACHED] C_Clamps_85/C_Clamps_85.stp — 3 nodes
  [201/749] [CACHED] C_Clamps_86/C_Clamps_86.STEP — 6 nodes
  [202/749] [CACHED] C_Clamps_87/C_Clamps_87.stp — 10 nodes
  [203/749] [CACHED] C_Clamps_88/C_Clamps_88.STEP — 16 nodes
  [204/749] [CACHED] C_Clamps_89/C_Clamps_89.stp — 11 nodes
  [205/749] [CACHED] C_Clamps_90/C_Clamps_90.step — 19 nodes
  [206/749] [CACHED] C_Clamps_91/C_Clamps_91.stp — 6 nodes
  [207/749] [CACHED] C_Clamps_92/C_Clamps_92.step — 19 nodes
  [208/749] [CACHED] C_Clamps_93/C_Clamps_93.STEP — 5 nodes
  [209/749] [CACHED] C_Clamps_94/C_Clamps_94.step — 15 nodes
  [210/749] [CACHED] C_Clamps_95/C_Clamps_95.stp — 11 nodes
  [211/749] [CACHED] C_Clamps_96/C_Clamps_96.STEP — 50 nodes
  [212/749] [CACHED] C_Clamps_97/C_Clamps_97.STEP — 5 nodes
  [213/749] [CACHED] C_Clamps_98/C_Clamps_98.stp — 18 nodes
  [214/749] [CACHED] C_Clamps_99/C_Clamps_99.STEP — 9 nodes
  [215/749] [CACHED] Crane_Hook_01/Crane_Hook_01.stp — 33 nodes
  [216/749] [CACHED] Crane_Hook_02/Crane_Hook_02.STEP — 35 nodes
  [217/749] [CACHED] Crane_Hook_04/Crane_Hook_04.STEP — 44 nodes
  [218/749] [CACHED] Crane_Hook_05/Crane_Hook_05.STEP — 15 nodes
  [219/749] [CACHED] Crane_Hook_06/Crane_Hook_06.step — 20 nodes
  [220/749] [CACHED] Crane_Hook_07/Crane_Hook_07.stp — 46 nodes
  [221/749] [CACHED] Crane_Hook_09/Crane_Hook_09.step — 28 nodes
  [222/749] [CACHED] Crane_Hook_10/Crane_Hook_10.stp — 46 nodes
  [223/749] [SKIPPED] Crane_Hook_100/Crane_Hook_100.STEP (CACHED_ONLY=1, no cache entry)
  [224/749] [CACHED] Crane_Hook_101/Crane_Hook_101.step — 24 nodes
  [225/749] [CACHED] Crane_Hook_102/Crane_Hook_102.stp — 99 nodes
  [226/749] [CACHED] Crane_Hook_103/Crane_Hook_103.stp — 99 nodes
  [227/749] [CACHED] Crane_Hook_104/Crane_Hook_104.stp — 251 nodes
  [228/749] [CACHED] Crane_Hook_105/Crane_Hook_105.stp — 251 nodes
  [229/749] [CACHED] Crane_Hook_106/Crane_Hook_106.STEP — 86 nodes
  [230/749] [CACHED] Crane_Hook_107/Crane_Hook_107.stp — 148 nodes
  [231/749] [CACHED] Crane_Hook_108/Crane_Hook_108.STEP — 67 nodes
  [232/749] [CACHED] Crane_Hook_109/Crane_Hook_109.stp — 251 nodes
  [233/749] [CACHED] Crane_Hook_11/Crane_Hook_11.stp — 19 nodes
  [234/749] [CACHED] Crane_Hook_110/Crane_Hook_110.step — 86 nodes
  [235/749] [CACHED] Crane_Hook_111/Crane_Hook_111.stp — 33 nodes
  [236/749] [CACHED] Crane_Hook_112/Crane_Hook_112.STEP — 92 nodes
  [237/749] [CACHED] Crane_Hook_113/Crane_Hook_113.STEP — 15 nodes
  [238/749] [CACHED] Crane_Hook_114/Crane_Hook_114.step — 24 nodes
  [239/749] [CACHED] Crane_Hook_12/Crane_Hook_12.stp — 53 nodes
  [240/749] [CACHED] Crane_Hook_13/Crane_Hook_13.stp — 28 nodes
  [241/749] [CACHED] Crane_Hook_15/Crane_Hook_15.STEP — 86 nodes
  [242/749] [CACHED] Crane_Hook_17/Crane_Hook_17.stp — 49 nodes
  [243/749] [CACHED] Crane_Hook_21/Crane_Hook_21.STEP — 57 nodes
  [244/749] [CACHED] Crane_Hook_22/Crane_Hook_22.STEP — 66 nodes
  [245/749] [CACHED] Crane_Hook_23/Crane_Hook_23.step — 24 nodes
  [246/749] [CACHED] Crane_Hook_24/Crane_Hook_24.stp — 46 nodes
  [247/749] [CACHED] Crane_Hook_25/Crane_Hook_25.stp — 46 nodes
  [248/749] [CACHED] Crane_Hook_26/Crane_Hook_26.stp — 53 nodes
  [249/749] [CACHED] Crane_Hook_27/Crane_Hook_27.stp — 53 nodes
  [250/749] [CACHED] Crane_Hook_28/Crane_Hook_28.STEP — 86 nodes
  [251/749] [CACHED] Crane_Hook_29/Crane_Hook_29.stp — 49 nodes
  [252/749] [CACHED] Crane_Hook_30/Crane_Hook_30.STEP — 57 nodes
  [253/749] [CACHED] Crane_Hook_31/Crane_Hook_31.stp — 53 nodes
  [254/749] [CACHED] Crane_Hook_32/Crane_Hook_32.step — 86 nodes
  [255/749] [CACHED] Crane_Hook_33/Crane_Hook_33.stp — 121 nodes
  [256/749] [CACHED] Crane_Hook_34/Crane_Hook_34.STEP — 44 nodes
  [257/749] [CACHED] Crane_Hook_35/Crane_Hook_35.STEP — 92 nodes
  [258/749] [CACHED] Crane_Hook_36/Crane_Hook_36.STEP — 15 nodes
  [259/749] [CACHED] Crane_Hook_37/Crane_Hook_37.step — 24 nodes
  [260/749] [SKIPPED] Crane_Hook_38/Crane_Hook_38.stp (CACHED_ONLY=1, no cache entry)
  [261/749] [CACHED] Crane_Hook_39/Crane_Hook_39.step — 28 nodes
  [262/749] [CACHED] Crane_Hook_40/Crane_Hook_40.stp — 74 nodes
  [263/749] [CACHED] Crane_Hook_41/Crane_Hook_41.stp — 19 nodes
  [264/749] [CACHED] Crane_Hook_42/Crane_Hook_42.stp — 137 nodes
  [265/749] [CACHED] Crane_Hook_43/Crane_Hook_43.stp — 40 nodes
  [266/749] [CACHED] Crane_Hook_44/Crane_Hook_44.STEP — 86 nodes
  [267/749] [CACHED] Crane_Hook_45/Crane_Hook_45.stp — 88 nodes
  [268/749] [CACHED] Crane_Hook_46/Crane_Hook_46.STEP — 62 nodes
  [269/749] [SKIPPED] Crane_Hook_47/Crane_Hook_47.STEP (CACHED_ONLY=1, no cache entry)
  [270/749] [CACHED] Crane_Hook_48/Crane_Hook_48.step — 24 nodes
  [271/749] [CACHED] Crane_Hook_49/Crane_Hook_49.stp — 72 nodes
  [272/749] [CACHED] Crane_Hook_50/Crane_Hook_50.stp — 72 nodes
  [273/749] [CACHED] Crane_Hook_51/Crane_Hook_51.stp — 137 nodes
